"","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","y"
"1",0,0,0,3,0,-1.18050107493806,-0.335842860449624,0.000683624980457129,-0.713966008649887,-0.910634536588455,4.75880950618676
"2",0,1,0,2,1,-0.560160001977077,-0.377639681865116,-0.682069915141056,-1.25967323544032,-0.324587917566736,-1.0471565676248
"3",0,0,1,3,3,0.0885513655676253,0.81882217573843,0.534457674135402,1.03928122905858,0.469463350200222,-1.86472037855461
"4",0,0,0,0,0,0.895883932937755,1.11174306406554,1.56326207905813,0.815385439427227,1.361154954169,-4.11870863422297
"5",1,0,0,2,2,-0.883968103062424,-0.537466054803975,-0.665571716186769,-0.47479543462362,-0.528731230098332,1.83094949235374
"6",0,0,0,2,2,-1.45676320602394,-0.605769578258975,-0.830370591126303,-0.314411223797865,-0.109896920466877,2.0886778929246
"7",0,1,0,2,0,0.44636240116139,-0.587242846823243,-0.346507756677565,-0.222229868204067,-0.192997068245694,-0.455325675759232
"8",1,0,0,2,1,-0.349248079524737,-0.586591778107774,-0.15927942927087,-0.590096475966573,-0.500955391824798,0.176057381969097
"9",0,1,1,0,2,-1.38543087755063,-1.9752090531184,-1.50648191689638,-2.20374647522367,-1.5770396638846,2.83493091723278
"10",0,1,0,2,3,0.916860002194565,0.733742031613778,0.907599375215605,0.634248162897519,0.626279160030416,-1.21461988393967
"11",0,1,0,0,3,0.00688340217244496,-0.162998974762132,-0.64694089304732,-0.708851931628542,-0.664661891331822,3.86997672437494
"12",1,0,0,3,1,0.584912459496219,0.437649220258076,-0.882041965018102,-1.22814220350519,0.174744026412685,-1.7244570773166
"13",0,1,0,0,2,-0.308204449720593,-0.125546305216012,-0.539115928780794,0.432289149030402,-0.707554988410412,1.26879796888807
"14",1,0,0,3,3,0.810785833188857,0.956136512925359,0.744225020620944,1.34215026776801,0.889872477859699,-1.7210665801195
"15",0,0,0,2,3,0.568690537598125,0.135314779806973,1.68041531153379,-0.0198333238642996,0.165398439750909,0.420705857991927
"16",1,0,1,2,1,0.877841007443076,0.213049702191147,-0.0134225349508272,0.524910167968072,0.899231390234889,-3.22694405090297
"17",0,1,1,1,1,0.678247206924189,0.998738879144898,1.26449266678307,1.05186631098551,1.68853379832322,-3.81518362890203
"18",0,1,0,2,3,-1.30280854820057,-0.927438892338363,-1.34174519059471,-1.95532204111738,-1.67033792286401,4.61638794456231
"19",1,1,1,3,3,-1.610212113745,-0.583532896630755,-1.90965055964512,-2.27697424390954,-1.56773790339932,3.96121577926938
"20",0,0,0,1,1,-1.00958091465196,-1.43740632973549,-1.04255413916863,-1.43812864620556,-1.24713755523912,3.38847440105847
